담보유형,N,R²,d_bank,d_bank_p,d_credit,d_credit_p,d_vkospi,d_vkospi_p,BankStress_총합,CreditSpread_총합
CP,459,0.17,0.8377657517525237,1.9050546805993558e-06,0.45060528739601924,1.0554766358835785e-06,0.11723915778028576,0.7654620320789618,1.3912573183378807,0.501363723394618
국채,2664,0.514,1.1109881371829589,7.828358319929631e-47,0.009289289288797777,0.8819545463546494,-0.05378077781015862,0.44886191942859766,1.4324954056028987,0.007510758733785851
금융채,2664,0.3942,1.638743925703797,1.3779032066592176e-17,0.25012448494279843,0.2787528863772295,-0.08339902630884181,0.39333500640899854,2.086205311407302,0.03554304604294517
은행채,2664,0.4976,1.1025512815354,2.366007796433361e-42,0.033422908409505805,0.6373597018607329,-0.05886185466354622,0.38804957643747207,1.4549327537386114,0.015344732675769183
전체,2664,0.5277,1.1717912237101626,3.683354270422958e-43,0.04690703136801691,0.4967155816600607,-0.05536689449778728,0.4438381959740455,1.5143567329693117,0.0196621137610377
주식.ETF,1488,0.0835,0.7059223874730821,3.5658856840590524e-10,-0.03099604023359525,0.8021499508663441,-0.08669171307929611,0.7446139169887387,1.0681559050828875,0.010951267019588914
지방채,2659,0.4344,1.2419027030680923,2.5456515002302094e-28,0.0713305458669145,0.3977587671462587,-0.11492986921031575,0.24640838674492038,1.6025087551523332,-0.03359654991006188
통안채,2664,0.5049,1.3459450290726243,4.288790034697289e-35,0.023686290275136086,0.7244985525433693,-0.039150875750300074,0.6508483886968549,1.623058926331088,0.04065088834217839
특수채,2664,0.5164,1.1736605751055107,2.098702457884033e-31,0.022987448351088437,0.750951334260567,-0.04002894484819154,0.570126266227154,1.5028278258091263,0.004504935139004115
회사채,2664,0.4016,1.2877113140887455,1.3457972584416609e-28,0.2210781179743933,0.19969035740959862,-0.03527079695488994,0.6974778691013446,1.787455499157412,0.20237621774490813
