담보유형,N,R²,BankStress,BankStress_p,CreditSpread,CreditSpread_p,VKOSPI,VKOSPI_p
CP,463,0.431,0.6505896396944311,0.018509581268391296,0.33165752795509784,0.0004426514026737716,0.4923572444495852,0.19217819407717973
국채,2668,0.6126,1.3194381336356327,3.958597659886735e-178,-0.0483911097877733,2.20205073654444e-10,-0.04800225157168633,0.06822699458026911
금융채,2668,0.4773,1.682355011169717,5.1007299080194906e-36,-0.027629811938607265,0.04802245310549965,-0.0018387443986453145,0.9660536663229654
은행채,2668,0.5865,1.290201216783518,3.393672588876756e-149,-0.03161294696064675,7.341764730224482e-05,0.0029139913566515394,0.9093265231017611
전체,2668,0.6181,1.3724620487512391,2.8968989663168e-165,-0.03831244315190656,7.122073013504977e-07,-0.003496684281351893,0.8896965128458205
주식.ETF,1492,0.2441,1.065816589220782,1.0943440518183486e-32,-0.037116951664062606,0.008456975533559535,0.22878403998764202,0.0028612516345992507
지방채,2663,0.5221,1.3928369968499557,3.897539307765138e-73,-0.047291093225519505,3.858172119793937e-08,-0.033299073267584786,0.3519818902773061
통안채,2668,0.6344,1.5950460978396857,2.6608795879549126e-158,-0.07630967870330102,1.0008720680788438e-16,-0.08176422097543375,0.010512434804266897
특수채,2668,0.5841,1.3246682468661166,1.1770109969581557e-113,-0.04073863087061431,5.644276963789516e-07,-0.007057825444523089,0.8003716723064674
회사채,2668,0.5336,1.5054670220564865,2.1617942638203027e-26,0.2516149295810925,3.979986835880633e-24,0.22067058925334018,0.0064940537090751906
