변수,계수,표준오차,t-stat,p-value,유의
const,-0.0427,0.2987,-0.143,0.8863,
d_bank,1.1945,0.1045,11.426,<0.001,***
d_credit,0.0571,0.2884,0.198,0.8431,
d_vkospi,-0.1404,0.4229,-0.332,0.7399,
KOSPI_ret,-0.0205,0.3831,-0.053,0.9573,
d_slope,0.0693,0.0851,0.814,0.4155,
d_r10,2.5625,5.8269,0.44,0.6601,
d_bank_L1,0.1624,0.0925,1.757,0.0790,*
d_credit_L1,-0.1048,0.2822,-0.371,0.7104,
d_bank_L2,0.0049,0.0902,0.054,0.9569,
d_credit_L2,0.6697,0.2872,2.332,0.0197,**
d_bank_L3,0.0691,0.0526,1.314,0.1889,
d_credit_L3,-0.5162,0.3025,-1.706,0.0880,*
