변수,계수,표준오차,t-stat,p-value,유의
d_bank,1.2179,0.0622,19.577,<0.001,***
d_credit,0.1201,0.0641,1.874,0.0610,*
d_vkospi,-0.0257,0.0256,-1.005,0.3149,
KOSPI_ret,-0.0805,0.0323,-2.495,0.0126,**
d_slope,0.1067,0.0464,2.298,0.0216,**
d_r10,1.2301,2.1763,0.565,0.5719,
d_bank_L1,0.2942,0.0063,46.633,<0.001,***
d_credit_L1,0.0067,0.021,0.318,0.7508,
d_bank_L2,0.0492,0.0114,4.329,<0.001,***
d_credit_L2,-0.0148,0.0203,-0.727,0.4674,
d_bank_L3,0.0231,0.0128,1.804,0.0712,*
d_credit_L3,-0.0305,0.0223,-1.365,0.1722,
