year,전체,CP,국채,금융채,은행채,주식.ETF,지방채,통안채,특수채,회사채
2015,1.662,,1.658,1.744,1.664,2.232,1.662,1.647,1.664,1.748
2016,1.364,,1.369,1.419,1.368,1.942,1.372,1.353,1.362,1.407
2017,1.304,,1.304,1.356,1.308,1.225,1.327,1.295,1.307,1.346
2018,1.591,1.734,1.586,1.641,1.599,1.42,1.592,1.576,1.599,1.639
2019,1.657,1.808,1.651,1.708,1.668,1.509,1.66,1.636,1.662,1.718
2020,0.733,1.341,0.716,0.799,0.749,0.829,0.739,0.686,0.736,0.996
2021,0.65,0.887,0.63,0.696,0.667,0.743,0.638,0.612,0.649,0.902
2022,2.057,1.47,2.035,2.129,2.071,2.914,2.051,1.998,2.062,2.379
2023,3.519,3.4,3.516,3.559,3.514,3.484,3.524,3.48,3.525,3.645
2024,3.45,3.542,3.445,3.489,3.445,3.431,3.458,3.418,3.448,3.538
2025,2.68,,2.67,2.728,2.677,2.67,2.677,2.646,2.678,2.787
