DATE,KOSPI지수,KOSDAQ지수
2001-01-01,504.62,525.8
2001-01-02,520.95,557
2001-01-03,521.43,569
2001-01-04,558.02,615.1
2001-01-05,580.85,625.2
2001-01-08,586.65,650
2001-01-09,589.92,678.2
2001-01-10,560.81,639.6
2001-01-11,561.79,675.1
2001-01-12,587.87,713.6
2001-01-15,599,765.2
2001-01-16,603.42,777.1
2001-01-17,595.83,750.1
2001-01-18,604.05,745.6
2001-01-19,619.78,772.1
2001-01-22,627.45,833.2
2001-01-23,627.45,833.2
2001-01-24,627.45,833.2
2001-01-25,627.45,833.2
2001-01-26,591.73,800.4
2001-01-29,596.54,813.8
2001-01-30,591.34,827.6
2001-01-31,617.91,843.6
2001-02-01,612.3,827
2001-02-02,608.48,826.6
2001-02-05,579.16,779.7
2001-02-06,586.58,797.2
2001-02-07,576.19,778
2001-02-08,591.57,798
2001-02-09,595.47,807.3
2001-02-12,599.2,831.1
2001-02-13,598.78,840.8
2001-02-14,603.83,853.1
2001-02-15,603.63,873.8
2001-02-16,604.92,863.2
2001-02-19,596.67,872.9
2001-02-20,608.74,876.5
2001-02-21,594.53,852.5
2001-02-22,583.41,801.8
2001-02-23,583.52,805.7
2001-02-26,585.32,812.5
2001-02-27,577.57,781.2
2001-02-28,578.1,767.6
2001-03-01,578.1,767.6
2001-03-02,559.44,719.9
2001-03-05,565.38,743.2
2001-03-06,568.15,735.2
2001-03-07,568.64,753.5
2001-03-08,579.28,780
2001-03-09,565.76,765.6
2001-03-12,545.05,723.3
2001-03-13,527.97,685.7
2001-03-14,543.28,720.4
2001-03-15,541.83,712.4
2001-03-16,538.67,713.8
2001-03-19,534.33,713.3
2001-03-20,531.59,713.5
2001-03-21,532.59,712.7
2001-03-22,527.05,706.4
2001-03-23,537.97,706.1
2001-03-26,545.98,727.7
2001-03-27,532.9,718.6
2001-03-28,528.79,705.8
2001-03-29,523.8,691.4
2001-03-30,523.22,684.3
2001-04-02,515.2,682.9
2001-04-03,503.26,662.4
2001-04-04,493.69,643.4
2001-04-05,493.69,643.4
2001-04-06,506.22,665.1
2001-04-09,497.46,648.1
2001-04-10,491.21,645.6
2001-04-11,507.53,671.8
2001-04-12,514.21,683.2
2001-04-13,516.1,686.2
2001-04-16,508.35,680.7
2001-04-17,513.97,683.1
2001-04-18,540,721.9
2001-04-19,563.31,749
2001-04-20,556.29,735
2001-04-23,560.94,758.8
2001-04-24,555.64,757.2
2001-04-25,566.34,769.7
2001-04-26,561.62,763.4
2001-04-27,556.63,753.2
2001-04-30,577.36,789.7
2001-05-01,577.36,789.7
2001-05-02,583.7,810
2001-05-03,584.4,799.9
2001-05-04,585.6,804.8
2001-05-07,596.5,828.4
2001-05-08,590.91,822.7
2001-05-09,578.84,795.9
2001-05-10,581.38,814.1
2001-05-11,583.06,817.2
2001-05-14,584.08,829.3
2001-05-15,581.3,814.8
2001-05-16,572.4,801.2
2001-05-17,596.39,833.2
2001-05-18,600.54,830.3
2001-05-21,618.96,838.1
2001-05-22,617.99,837.8
2001-05-23,622.6,828.6
2001-05-24,622.28,830.1
2001-05-25,624.11,834.3
2001-05-28,618.47,832.2
2001-05-29,632.05,838.1
2001-05-30,628.42,832.2
2001-05-31,612.16,813.5
2001-06-01,607.07,801.1
2001-06-04,610.91,803.7
2001-06-05,597.66,789.2
2001-06-06,597.66,789.2
2001-06-07,601.14,781.4
2001-06-08,621.78,807.7
2001-06-11,608.23,795.2
2001-06-12,607.15,801.2
2001-06-13,614.05,816.8
2001-06-14,613.75,821.3
2001-06-15,618.96,824.9
2001-06-18,608.78,817.6
2001-06-19,608.91,809.3
2001-06-20,595.72,788.3
2001-06-21,595.53,788.2
2001-06-22,599.08,786
2001-06-25,598.02,776.8
2001-06-26,588.71,745.3
2001-06-27,584.76,746
2001-06-28,583.27,747.2
2001-06-29,595.13,768.7
2001-07-02,596.74,775.6
2001-07-03,594.31,776.5
2001-07-04,597.25,774.9
2001-07-05,593.61,767.2
2001-07-06,578.54,740.8
2001-07-09,560,701.2
2001-07-10,558.6,706.7
2001-07-11,553.65,680.7
2001-07-12,559.95,721.6
2001-07-13,548.49,695.8
2001-07-16,548.93,701.7
2001-07-17,548.93,701.7
2001-07-18,540.53,680.3
2001-07-19,545.74,683.8
2001-07-20,537.71,670.8
2001-07-23,524.21,641.4
2001-07-24,526.62,645.3
2001-07-25,526.08,641
2001-07-26,529.22,652.4
2001-07-27,541.13,674.6
2001-07-30,533.53,669.8
2001-07-31,541.55,680.9
2001-08-01,562.79,704.4
2001-08-02,567.46,707.2
2001-08-03,568.69,705.8
2001-08-06,569.37,718
2001-08-07,567.5,714.9
2001-08-08,565.94,707.7
2001-08-09,549.67,689.2
2001-08-10,555.34,692.1
2001-08-13,562,689.7
2001-08-14,577.15,697.6
2001-08-15,577.15,697.6
2001-08-16,580.95,690.4
2001-08-17,580.99,691.4
2001-08-20,567.09,679.7
2001-08-21,568.68,682.2
2001-08-22,574.87,686.6
2001-08-23,570.07,679.4
2001-08-24,569.31,677.8
2001-08-27,578.74,681.3
2001-08-28,576.51,674.4
2001-08-29,565.63,653.2
2001-08-30,564.36,648.3
2001-08-31,545.11,618.4
2001-09-03,541.83,615.2
2001-09-04,558.79,627.4
2001-09-05,551.91,617.6
2001-09-06,552.59,627.6
2001-09-07,555.08,631.4
2001-09-10,550.73,626.2
2001-09-11,540.57,618
2001-09-12,475.6,546.4
2001-09-13,499.25,541.9
2001-09-14,482.29,502.1
2001-09-17,468.76,460.5
2001-09-18,484.93,494.8
2001-09-19,486.75,504.6
2001-09-20,480.27,493.6
2001-09-21,472.31,489.7
2001-09-24,482.19,500
2001-09-25,472.13,486.2
2001-09-26,472.85,489.1
2001-09-27,472.38,496.5
2001-09-28,479.68,516.4
2001-10-01,479.68,516.4
2001-10-02,479.68,516.4
2001-10-03,479.68,516.4
2001-10-04,500.64,550.8
2001-10-05,501.92,540.7
2001-10-08,496.13,535.5
2001-10-09,507.61,560.2
2001-10-10,503.46,564.5
2001-10-11,517.05,583.9
2001-10-12,516.4,590.2
2001-10-15,513.99,595.7
2001-10-16,521.91,608.2
2001-10-17,528.29,619.1
2001-10-18,524.21,612.8
2001-10-19,528.04,620.6
2001-10-22,528.7,633.6
2001-10-23,530.5,629.9
2001-10-24,541.49,640.9
2001-10-25,542.19,636.6
2001-10-26,543.41,641
2001-10-29,547.87,640.6
2001-10-30,533.87,617.1
2001-10-31,537.81,625.5
2001-11-01,544.09,636.4
2001-11-02,550.57,639.3
2001-11-05,561.62,653.6
2001-11-06,565.47,659.7
2001-11-07,562.03,656.6
2001-11-08,573.04,666.1
2001-11-09,576.75,671.9
2001-11-12,584.48,683.9
2001-11-13,588.83,680.1
2001-11-14,606.68,692
2001-11-15,606.44,683.3
2001-11-16,610.88,685
2001-11-19,626.43,691.5
2001-11-20,616.33,686.8
2001-11-21,615.45,690.3
2001-11-22,624.56,696.6
2001-11-23,645.18,706.2
2001-11-26,674.56,722.8
2001-11-27,670.1,722.8
2001-11-28,632.02,679.9
2001-11-29,628.86,689.9
2001-11-30,643.89,705.2
2001-12-03,650.66,710.3
2001-12-04,649.9,707.6
2001-12-05,688.31,720.4
2001-12-06,686.61,718.9
2001-12-07,704.5,728.2
2001-12-10,668.77,727
2001-12-11,670.08,723.8
2001-12-12,681.43,747.9
2001-12-13,676.59,753
2001-12-14,665.2,739.4
2001-12-17,648.28,715.1
2001-12-18,643.76,693.5
2001-12-19,647.05,675.9
2001-12-20,664.51,698.4
2001-12-21,644.71,684.3
2001-12-24,646.49,684.3
2001-12-25,646.49,684.3
2001-12-26,653.87,685.4
2001-12-27,668.55,694.3
2001-12-28,693.7,722.1
2001-12-31,693.7,722.1
2002-01-01,693.7,722.1
2002-01-02,724.95,744.7
2002-01-03,727.66,744.9
2002-01-04,747.72,754.5
2002-01-07,751.48,760.9
2002-01-08,734.76,753.5
2002-01-09,751.61,761.5
2002-01-10,728.23,763.3
2002-01-11,727.36,750.2
2002-01-14,744.03,751.1
2002-01-15,718.64,731.9
2002-01-16,710.95,729.1
2002-01-17,713.5,722.9
2002-01-18,708.47,720.2
2002-01-21,717.35,729.9
2002-01-22,724.36,739.3
2002-01-23,742.62,750.3
2002-01-24,757.71,750.1
2002-01-25,774.68,764.7
2002-01-28,780.24,799.9
2002-01-29,774.03,790.9
2002-01-30,749.45,762
2002-01-31,748.07,773.6
2002-02-01,742.42,759.8
2002-02-04,730.21,742.8
2002-02-05,739.91,743.5
2002-02-06,741.55,747.4
2002-02-07,727.71,724.5
2002-02-08,739.66,728.8
2002-02-11,739.66,728.8
2002-02-12,739.66,728.8
2002-02-13,739.66,728.8
2002-02-14,796.18,751.9
2002-02-15,783.59,753
2002-02-18,790.37,760.5
2002-02-19,782.27,758.5
2002-02-20,776.89,756.7
2002-02-21,787.62,763
2002-02-22,792,770.6
2002-02-25,791.48,771.1
2002-02-26,801.14,770
2002-02-27,822.11,775.4
2002-02-28,819.99,787.1
2002-03-01,819.99,787.1
2002-03-04,834.21,830.4
2002-03-05,841.95,836.2
2002-03-06,843.06,841.4
2002-03-07,829.44,837.3
2002-03-08,825.27,840.9
2002-03-11,827.02,865.4
2002-03-12,846.03,866
2002-03-13,849.13,869.6
2002-03-14,856.86,874.9
2002-03-15,860.36,893.5
2002-03-18,869.71,917.8
2002-03-19,889.98,925.8
2002-03-20,887.48,916.6
2002-03-21,885.64,918.4
2002-03-22,895.98,943
2002-03-25,879.41,936.3
2002-03-26,881.03,925.6
2002-03-27,902.46,931
2002-03-28,892.67,918.5
2002-03-29,895.58,927.3
2002-04-01,875.83,877
2002-04-02,905.34,884.2
2002-04-03,918.59,878.7
2002-04-04,918.01,882
2002-04-05,918.01,882
2002-04-08,900.69,879.9
2002-04-09,888.67,862.1
2002-04-10,856.03,835.4
2002-04-11,862.86,846.1
2002-04-12,875.69,842.4
2002-04-15,894.28,858.2
2002-04-16,901.29,865.1
2002-04-17,930.51,874.3
2002-04-18,937.61,876.8
2002-04-19,923.94,858.8
2002-04-22,920.89,824.5
2002-04-23,925.7,810.2
2002-04-24,915.69,794.8
2002-04-25,872.58,757.3
2002-04-26,869.65,767.8
2002-04-29,838.51,737
2002-04-30,842.34,733.4
2002-05-01,842.34,733.4
2002-05-02,859.86,763.1
2002-05-03,856.72,764.8
2002-05-06,826.87,755
2002-05-07,826.34,748.2
2002-05-08,844.67,767.8
2002-05-09,838.67,780.2
2002-05-10,817.93,769.9
2002-05-13,821.89,766.3
2002-05-14,837.37,766.6
2002-05-15,862.62,783.4
2002-05-16,858.04,779.9
2002-05-17,875.03,794.7
2002-05-20,865.78,793.5
2002-05-21,837.56,766.5
2002-05-22,863.06,774.2
2002-05-23,845.51,755.3
2002-05-24,854.57,755.7
2002-05-27,840.57,743.9
2002-05-28,848.8,740.7
2002-05-29,835.19,724.7
2002-05-30,815.61,703.8
2002-05-31,796.4,697.8
2002-06-03,804.93,698
2002-06-04,806.33,698.8
2002-06-05,809.59,710.5
2002-06-06,809.59,710.5
2002-06-07,795.16,697.2
2002-06-10,811.9,712.5
2002-06-11,815.33,713.6
2002-06-12,823.06,724
2002-06-13,823.06,724
2002-06-14,822.01,715.5
2002-06-17,809.16,704.6
2002-06-18,809.4,701.8
2002-06-19,776.37,662.6
2002-06-20,776.81,657.7
2002-06-21,778.53,658.1
2002-06-24,767.92,639.1
2002-06-25,755.92,618.8
2002-06-26,701.87,566.3
2002-06-27,710.43,572.3
2002-06-28,742.72,608.5
2002-07-01,742.72,608.5
2002-07-02,746.23,610.5
2002-07-03,753.36,621.5
2002-07-04,768.74,637.1
2002-07-05,787.83,649.8
2002-07-08,783.35,652.9
2002-07-09,801.99,669.1
2002-07-10,794.71,674.5
2002-07-11,764.88,656.2
2002-07-12,792.93,668.2
2002-07-15,783.52,657.4
2002-07-16,771.45,642.2
2002-07-17,771.45,642.2
2002-07-18,773.85,644.7
2002-07-19,754.62,631.4
2002-07-22,720.9,592.8
2002-07-23,743.52,616.1
2002-07-24,721.41,595.4
2002-07-25,723.52,602.3
2002-07-26,697.84,583.3
2002-07-29,700.35,575.4
2002-07-30,724.08,591.6
2002-07-31,717.99,586.2
2002-08-01,707.8,584.2
2002-08-02,700.68,576
2002-08-05,675.76,552.4
2002-08-06,673.78,544.3
2002-08-07,679.37,553.4
2002-08-08,684.49,564.7
2002-08-09,692.45,562.3
2002-08-12,695.39,566.9
2002-08-13,708.63,579.1
2002-08-14,711.24,579.4
2002-08-15,711.24,579.4
2002-08-16,718.29,582
2002-08-19,717.58,583.4
2002-08-20,736.7,591.5
2002-08-21,745.12,595.4
2002-08-22,745.75,600.1
2002-08-23,740.51,598.5
2002-08-26,734.79,594
2002-08-27,724.17,591.8
2002-08-28,724.05,586.5
2002-08-29,724.94,584.4
2002-08-30,736.4,591.1
2002-09-02,751.98,595.4
2002-09-03,740.59,590.1
2002-09-04,723.05,581
2002-09-05,720.98,580.6
2002-09-06,708.73,562.2
2002-09-09,697.89,536.6
2002-09-10,713.3,542.4
2002-09-11,724.71,549
2002-09-12,739.22,552.7
2002-09-13,718.17,542.8
2002-09-16,704.38,534.5
2002-09-17,726.8,552.2
2002-09-18,703.87,537.8
2002-09-19,704.12,536.8
2002-09-20,704.12,536.8
2002-09-23,679.43,518.3
2002-09-24,672.28,504.1
2002-09-25,657.96,487.9
2002-09-26,662.41,486.3
2002-09-27,663.72,485.2
2002-09-30,646.42,467.1
2002-10-01,652.13,475.3
2002-10-02,648.1,475.1
2002-10-03,648.1,475.1
2002-10-04,650.92,480.2
2002-10-07,627.4,468
2002-10-08,634.84,470.8
2002-10-09,619.94,458.3
2002-10-10,584.04,437.4
2002-10-11,587.51,436.7
2002-10-14,614.27,458.5
2002-10-15,629.57,473.7
2002-10-16,636.25,474.8
2002-10-17,644.66,484.3
2002-10-18,670.79,502.1
2002-10-21,652.67,486.6
2002-10-22,639.27,476.4
2002-10-23,657.43,487.5
2002-10-24,654.98,479.2
2002-10-25,655.88,478.6
2002-10-28,678.14,493.7
2002-10-29,673.18,492
2002-10-30,658.03,482.8
2002-10-31,658.92,480.5
2002-11-01,647.65,476.4
2002-11-04,672.68,481.8
2002-11-05,664.9,480.1
2002-11-06,682.56,489.5
2002-11-07,681.27,486.6
2002-11-08,674.85,483.9
2002-11-11,657.78,474.6
2002-11-12,654.43,471.6
2002-11-13,653.85,470.3
2002-11-14,652.15,470.5
2002-11-15,672.95,480.1
2002-11-18,667.13,477.8
2002-11-19,671.44,478.9
2002-11-20,682,480.1
2002-11-21,690.38,480.7
2002-11-22,692.87,484.6
2002-11-25,705.86,491.5
2002-11-26,702.27,493.2
2002-11-27,708.07,503.8
2002-11-28,714.54,510.6
2002-11-29,724.8,519
2002-12-02,730.16,529.5
2002-12-03,736.57,537.8
2002-12-04,714.5,517.3
2002-12-05,722.76,528.7
2002-12-06,718.09,532.5
2002-12-09,709.11,529.8
2002-12-10,702.44,525.7
2002-12-11,698.61,526
2002-12-12,715.38,533.8
2002-12-13,708.13,535.4
2002-12-16,692.42,522.5
