계정항목,코스피(외국인순매수),코스닥(외국인순매수),코스피(거래대금),코스닥(거래대금)
2001/01/02,,,1.2233E+12,
2001/01/03,,,1.5834E+12,
2001/01/04,,,2.9848E+12,
2001/01/05,,,3.5696E+12,
2001/01/08,,,2.9481E+12,
2001/01/09,,,2.834E+12,
2001/01/10,,,3.285E+12,
2001/01/11,,,2.7217E+12,
2001/01/12,,,3.9801E+12,
2001/01/15,,,3.4078E+12,
2001/01/16,,,3.3524E+12,
2001/01/17,,,3.0786E+12,
2001/01/18,,,3.0213E+12,
2001/01/19,,,3.0026E+12,
2001/01/22,,,2.5134E+12,
2001/01/26,,,2.6032E+12,
2001/01/29,,,2.3975E+12,
2001/01/30,,,2.4182E+12,
2001/01/31,,,2.5855E+12,
2001/02/01,,,2.2114E+12,
2001/02/02,,,1.7948E+12,
2001/02/05,,,1.897E+12,
2001/02/06,,,1.6082E+12,
2001/02/07,,,1.4699E+12,
2001/02/08,,,1.7266E+12,
2001/02/09,,,2.03E+12,
2001/02/12,,,1.8959E+12,
2001/02/13,,,1.9904E+12,
2001/02/14,,,2.1519E+12,
2001/02/15,,,2.0205E+12,
2001/02/16,,,1.853E+12,
2001/02/19,,,1.6095E+12,
2001/02/20,,,2.7223E+12,
2001/02/21,,,2.4307E+12,
2001/02/22,,,2.3007E+12,
2001/02/23,,,2.1152E+12,
2001/02/26,,,1.8036E+12,
2001/02/27,,,2.1486E+12,
2001/02/28,,,1.5823E+12,
2001/03/02,,,1.903E+12,
2001/03/05,,,1.5685E+12,
2001/03/06,,,2.2222E+12,
2001/03/07,,,1.8387E+12,
2001/03/08,,,1.51E+12,
2001/03/09,,,1.4208E+12,
2001/03/12,,,1.5568E+12,
2001/03/13,,,1.6292E+12,
2001/03/14,,,1.7845E+12,
2001/03/15,,,1.6711E+12,
2001/03/16,,,1.4092E+12,
2001/03/19,,,1.188E+12,
2001/03/20,,,1.2298E+12,
2001/03/21,,,1.3579E+12,
2001/03/22,,,1.5913E+12,
2001/03/23,,,1.9204E+12,
2001/03/26,,,1.8453E+12,
2001/03/27,,,1.722E+12,
2001/03/28,,,1.5089E+12,
2001/03/29,,,1.5233E+12,
2001/03/30,,,1.5045E+12,
2001/04/02,,,1.1053E+12,
2001/04/03,,,1.426E+12,
2001/04/04,,,1.4573E+12,
2001/04/06,,,1.761E+12,
2001/04/09,,,9.445E+11,
2001/04/10,,,1.1556E+12,
2001/04/11,,,1.6788E+12,
2001/04/12,,,1.7386E+12,
2001/04/13,,,1.2631E+12,
2001/04/16,,,9.177E+11,
2001/04/17,,,1.2752E+12,
2001/04/18,,,2.0796E+12,
2001/04/19,,,3.5454E+12,
2001/04/20,,,2.2593E+12,
2001/04/23,,,1.8266E+12,
2001/04/24,,,1.5625E+12,
2001/04/25,,,1.8278E+12,
2001/04/26,,,1.5374E+12,
2001/04/27,,,1.2466E+12,
2001/04/30,,,2.0492E+12,
2001/05/02,,,2.357E+12,
2001/05/03,,,1.8124E+12,
2001/05/04,,,1.6758E+12,
2001/05/07,,,2.1111E+12,
2001/05/08,,,2.1069E+12,
2001/05/09,,,2.0849E+12,
2001/05/10,,,1.8137E+12,
2001/05/11,,,1.6383E+12,
2001/05/14,,,1.7652E+12,
2001/05/15,,,1.9477E+12,
2001/05/16,,,1.9309E+12,
2001/05/17,,,2.1571E+12,
2001/05/18,,,2.5425E+12,
2001/05/21,,,3.1574E+12,
2001/05/22,,,3.2875E+12,
2001/05/23,,,2.4518E+12,
2001/05/24,,,2.6185E+12,
2001/05/25,,,2.8655E+12,
2001/05/28,,,1.8516E+12,
2001/05/29,,,2.4605E+12,
2001/05/30,,,2.2995E+12,
2001/05/31,,,2.2946E+12,
2001/06/01,,,1.8933E+12,
2001/06/04,,,1.5915E+12,
2001/06/05,,,1.8059E+12,
2001/06/07,,,1.7222E+12,
2001/06/08,,,2.3219E+12,
2001/06/11,,,1.7114E+12,
2001/06/12,,,1.5793E+12,
2001/06/13,,,1.8828E+12,
2001/06/14,,,2.1381E+12,
2001/06/15,,,1.9842E+12,
2001/06/18,,,2.0434E+12,
2001/06/19,,,2.1067E+12,
2001/06/20,,,2.0548E+12,
2001/06/21,,,1.9069E+12,
2001/06/22,,,1.9507E+12,
2001/06/25,,,1.55E+12,
2001/06/26,,,1.6181E+12,
2001/06/27,,,1.6472E+12,
2001/06/28,,,1.4486E+12,
2001/06/29,,,1.3988E+12,
2001/07/02,,,1.1854E+12,
2001/07/03,,,1.1609E+12,
2001/07/04,,,1.173E+12,
2001/07/05,,,1.0585E+12,
2001/07/06,,,1.1436E+12,
2001/07/09,,,1.4299E+12,
2001/07/10,,,1.0798E+12,
2001/07/11,,,1.1371E+12,
2001/07/12,,,1.459E+12,
2001/07/13,,,1.3809E+12,
2001/07/16,,,9.616E+11,
2001/07/18,,,1.1814E+12,
2001/07/19,,,1.1652E+12,
2001/07/20,,,1.137E+12,
2001/07/23,,,9.956E+11,
2001/07/24,,,1.4907E+12,
2001/07/25,,,1.1732E+12,
2001/07/26,,,1.0952E+12,
2001/07/27,,,1.3223E+12,
2001/07/30,,,9.396E+11,
2001/07/31,,,9.164E+11,
2001/08/01,,,1.9158E+12,
2001/08/02,,,1.9504E+12,
2001/08/03,,,1.2266E+12,
2001/08/06,,,1.2563E+12,
2001/08/07,,,1.3502E+12,
2001/08/08,,,1.2027E+12,
2001/08/09,,,1.2139E+12,
2001/08/10,,,9.896E+11,
