DATE,기준금리,"  콜금리(1일, 전체거래)","  콜금리(1일, 중개회사거래)","  콜금리(1일, 은행증권금융차입)",KOFR(공시RFR),KORIBOR(3개월),KORIBOR(6개월),KORIBOR(12개월),CD(91일),"CP(91일, A1)",CP(91일),국민주택채권1종(5년),국고채(1년),국고채(2년),국고채(3년),국고채(5년),국고채(10년),국고채(20년),국고채(30년),국고채(50년),통안증권(91일),통안증권(1년),통안증권(2년),산금채(1년),"회사채(3년, AA-)","회사채(3년, BBB-)","회사채(3년, AA-, 민평)",MMF(7일),CMA(수시형)
2001-01-02,5.25,5.28,5.26,,,,,,6.88,,7.26,,6.68,,6.67,6.88,7.18,,,,,6.73,6.8,,8.12,11.82,,6.18,7.67
2001-01-03,5.25,5.28,5.26,,,,,,6.87,,7.26,,6.63,,6.64,6.84,7.15,,,,,6.66,6.74,,8.11,11.82,,6.18,7.67
2001-01-04,5.25,5.3,5.28,,,,,,6.77,,7.24,,6.38,,6.37,6.5,6.85,,,,,6.4,6.47,,7.97,11.75,,6.18,7.67
2001-01-05,5.25,5.34,5.31,,,,,,6.68,,7.18,,6.17,,6.19,6.3,6.68,,,,,6.19,6.25,,7.88,11.68,,6.17,7.67
2001-01-08,5.25,5.32,5.3,,,,,,6.66,,7.11,,6.09,,6.1,6.25,6.6,,,,,6.09,6.16,,7.86,11.67,,6.17,7.67
2001-01-09,5.25,5.3,5.28,,,,,,6.64,,7.06,,6.08,,6.14,6.31,6.68,,,,,6.09,6.19,,7.88,11.69,,6.17,7.67
2001-01-10,5.25,5.32,5.31,,,,,,6.64,,7.03,,6.08,,6.14,6.3,6.69,,,,,6.09,6.19,,7.88,11.69,,6.27,7.67
2001-01-11,5.25,5.32,5.3,,,,,,6.62,,7,,5.98,,5.95,6.14,6.57,,,,,5.99,6.06,,7.77,11.61,,6.27,7.67
2001-01-12,5.25,5.33,5.14,,,,,,6.59,,6.98,,5.95,,6,6.26,6.6,,,,,5.97,6.11,,7.79,11.67,,6.27,7.67
2001-01-15,5.25,5.3,5.28,,,,,,6.57,,6.95,,5.98,,5.99,6.24,6.61,,,,,5.99,6.07,,7.78,11.66,,6.21,7.68
2001-01-16,5.25,5.31,5.29,,,,,,6.55,,6.92,,5.93,,5.86,6.16,6.6,,,,,5.93,5.99,,7.73,11.64,,6.21,7.66
2001-01-17,5.25,5.31,5.3,,,,,,6.37,,6.91,,5.94,,5.73,6.06,6.58,,,,,5.94,5.97,,7.67,11.6,,6.21,7.66
2001-01-18,5.25,5.32,5.33,,,,,,6.24,,6.9,,5.93,,5.8,5.99,6.53,,,,,5.94,5.95,,7.66,11.6,,6.21,7.66
2001-01-19,5.25,5.28,5.19,,,,,,6.16,,6.89,,5.92,,5.77,5.99,6.54,,,,,5.93,5.95,,7.64,11.59,,6.21,7.66
2001-01-22,5.25,5.2,5.09,,,,,,6.08,,6.88,,5.92,,5.77,5.99,6.54,,,,,5.93,5.95,,7.64,11.59,,6.21,7.67
2001-01-26,5.25,5.24,5.36,,,,,,6.05,,6.84,,5.92,,5.77,5.98,6.55,,,,,5.93,5.97,,7.62,11.59,,6.21,7.67
2001-01-29,5.25,5.29,5.29,,,,,,6.04,,6.76,,5.87,,5.75,5.97,6.55,,,,,5.87,5.95,,7.56,11.58,,6.21,7.67
2001-01-30,5.25,5.28,5.28,,,,,,6,,6.7,,5.81,,5.73,5.97,6.55,,,,,5.81,5.93,,7.5,11.55,,6.21,7.65
2001-01-31,5.25,5.27,5.27,,,,,,5.94,,6.66,,5.71,,5.68,5.95,6.54,,,,,5.71,5.85,,7.38,11.56,,6.21,7.65
2001-02-01,5.25,5.3,5.29,,,,,,5.91,,6.63,,5.7,,5.63,5.94,6.54,,,,,5.7,5.8,,7.27,11.56,,6.21,7.67
2001-02-02,5.25,5.28,5.18,,,,,,5.89,,6.61,,5.62,,5.48,5.82,6.48,,,,,5.61,5.68,,7.08,11.58,,6.21,7.66
2001-02-05,5.25,5.3,5.3,,,,,,5.86,,6.59,,5.55,,5.38,5.81,6.46,,,,,5.55,5.62,,6.97,11.57,,6.12,7.49
2001-02-06,5.25,5.31,5.27,,,,,,5.83,,6.56,,5.5,,5.28,5.66,6.42,,,,,5.51,5.51,,6.89,11.55,,6.12,7.49
